[I 2021-06-13 04:23:17,032] Trial 34 finished with value: 1.7483626734369435 and parameters: {'n_estimators': 827, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 5, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.03933135080998581, 'colsample_bytree': 0.4}. Best is trial 34 with value: 1.7483626734369435.
[I 2021-06-13 04:31:44,168] Trial 35 finished with value: 1.7485580194974317 and parameters: {'n_estimators': 840, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 4, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.04166908618990358, 'colsample_bytree': 0.39}. Best is trial 34 with value: 1.7483626734369435.
[I 2021-06-13 04:39:16,317] Trial 36 finished with value: 1.7481993529925124 and parameters: {'n_estimators': 830, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.04223943411437889, 'colsample_bytree': 0.33}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 04:42:02,458] Trial 37 finished with value: 1.7527651174912229 and parameters: {'n_estimators': 826, 'max_depth': 2, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.06395620323567233, 'colsample_bytree': 0.36}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 04:46:17,059] Trial 38 finished with value: 1.7493754617349244 and parameters: {'n_estimators': 727, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 4, 'min_child_weight': 5, 'gamma': 1, 'learning_rate': 0.04454506564564903, 'colsample_bytree': 0.4}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 04:52:17,900] Trial 39 finished with value: 1.7488662418316119 and parameters: {'n_estimators': 707, 'max_depth': 6, 'reg_alpha': 3, 'reg_lambda': 2, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.10024074484635459, 'colsample_bytree': 0.29000000000000004}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 04:58:09,435] Trial 40 finished with value: 1.7483002074157818 and parameters: {'n_estimators': 822, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.06563959645793088, 'colsample_bytree': 0.22}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 05:02:22,543] Trial 41 finished with value: 1.7485356102427467 and parameters: {'n_estimators': 835, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.07058786117567463, 'colsample_bytree': 0.21000000000000002}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 05:05:31,528] Trial 42 finished with value: 1.7484049899780192 and parameters: {'n_estimators': 843, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.14733526374182304, 'colsample_bytree': 0.14}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 05:07:43,020] Trial 43 finished with value: 1.74907216481911 and parameters: {'n_estimators': 811, 'max_depth': 6, 'reg_alpha': 3, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.21552350288608216, 'colsample_bytree': 0.1}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 05:11:07,498] Trial 44 finished with value: 1.7483229723441414 and parameters: {'n_estimators': 799, 'max_depth': 6, 'reg_alpha': 2, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.14460747271850444, 'colsample_bytree': 0.15000000000000002}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 05:13:53,431] Trial 45 finished with value: 1.7490359859975986 and parameters: {'n_estimators': 747, 'max_depth': 6, 'reg_alpha': 3, 'reg_lambda': 3, 'min_child_weight': 5, 'gamma': 5, 'learning_rate': 0.1434866600945595, 'colsample_bytree': 0.2}. Best is trial 36 with value: 1.7481993529925124.
[I 2021-06-13 05:15:38,743] Trial 46 finished with value: 1.7517449468693695 and parameters: {'n_estimators': 799, 'max_depth': 3, 'reg_alpha': 2, 'reg_lambda': 2, 'min_child_weight': 5, 'gamma': 4, 'learning_rate': 0.34823436303510635, 'colsample_bytree': 0.15000000000000002}. Best is trial 36 with value: 1.7481993529925124.
